"ride_date","ride_length"
2009-01-04,5.97
2009-01-06,11.59
2009-01-10,17.1
2009-01-11,12.51
2009-01-18,10.7
2009-01-18,7.73
2009-01-19,13.39
2009-01-21,7.78
2009-01-23,10.46
2009-01-25,10.98
2009-01-27,17.3
2009-01-27,11.49
2009-01-28,13.05
2009-01-28,14.52
2009-01-28,8.55
2009-01-29,13.78
2009-01-31,11.33
2009-02-02,12.93
2009-02-04,15.74
2009-02-04,15.14
2009-02-04,16.76
2009-02-05,12.41
2009-02-05,13.56
2009-02-06,14.93
2009-02-10,10.68
2009-02-10,14.69
2009-02-12,12.01
2009-02-16,11.53
2009-02-16,13.35
2009-02-16,13.31
2009-02-17,9.34
2009-02-18,12.23
2009-02-19,10.36
2009-02-20,8.34
2009-02-23,8.33
2009-02-24,15.81
2009-02-25,16.65
2009-02-25,9.87
2009-02-25,15.61
2009-02-27,9.2
2009-02-27,7.6
2009-03-01,5.13
2009-03-03,12.41
2009-03-03,17.3
2009-03-04,12.51
2009-03-09,12.13
2009-03-09,10.67
2009-03-11,12.4
2009-03-11,15.45
2009-03-17,10.47
2009-03-17,11.95
2009-03-20,12.12
2009-03-21,28.86
2009-03-24,13.05
2009-03-27,43.78
2009-03-28,14.02
2009-03-30,13.43
2009-03-30,13.98
2009-03-31,15.62
2009-04-01,9.3
2009-04-03,12.74
2009-04-04,25.97
2009-04-04,10.54
2009-04-07,13.96
2009-04-07,9.32
2009-04-09,5.09
2009-04-11,16.53
2009-04-13,15.19
2009-04-20,7.93
2009-04-20,7.05
2009-04-22,10.15
2009-04-23,11.84
2009-04-29,14.89
2009-04-30,17.9
2009-04-30,15.14
2009-05-01,17.06
2009-05-01,5.75
2009-05-03,18.79
2009-05-03,2.61
2009-05-04,15.05
2009-05-05,14.45
2009-05-05,11.32
2009-05-07,14.24
2009-05-11,13.52
2009-05-12,8.66
2009-05-12,11.29
2009-05-21,14.48
2009-05-24,10.27
2009-05-25,14.41
2009-05-25,13.02
2009-05-25,12.36
2009-05-28,11.95
2009-05-28,15.15
2009-06-02,12.58
2009-06-03,19.54
2009-06-04,8.89
2009-06-05,9.44
2009-06-09,20.13
2009-06-09,6.31
2009-06-15,10.04
2009-06-16,12.8
2009-06-17,14.85
2009-06-19,8.99
2009-06-21,7.14
2009-06-22,13.74
2009-06-23,15.22
2009-06-24,9.22
2009-06-24,12.04
2009-06-25,16.43
2009-06-25,9.47
2009-06-26,8.67
2009-06-27,12.33
2009-06-28,12.58
2009-06-30,16.06
2009-06-30,13.5
2009-07-04,19.49
2009-07-05,12.4
2009-07-05,10.12
2009-07-06,12.74
2009-07-06,14.14
2009-07-06,8.03
2009-07-07,10.48
2009-07-07,11.62
2009-07-08,7.27
2009-07-14,15.18
2009-07-15,8.13
2009-07-16,12.63
2009-07-16,14.06
2009-07-16,15.81
2009-07-17,18.5
2009-07-18,3.24
2009-07-18,17.16
2009-07-19,12.02
2009-07-20,18.84
2009-07-20,19.11
2009-07-21,13.79
2009-07-22,6.7
2009-07-24,13.74
2009-07-25,9.77
2009-07-25,20.92
2009-07-26,7.92
2009-07-28,13.03
2009-08-02,21.2
2009-08-02,18.37
2009-08-05,8.57
2009-08-05,14.67
2009-08-05,8.41
2009-08-06,7.13
2009-08-06,8
2009-08-08,25.29
2009-08-11,30.69
2009-08-11,8.21
2009-08-12,12.43
2009-08-13,10.97
2009-08-19,14.93
2009-08-20,8.37
2009-08-21,13.23
2009-08-21,6.29
2009-08-22,6.98
2009-08-23,23.87
2009-08-23,13.45
2009-08-24,22.72
2009-08-25,16.09
2009-08-26,7.3
2009-08-26,10.92
2009-08-27,9.12
2009-08-30,17.18
2009-09-02,12.54
2009-09-02,3.84
2009-09-03,9.32
2009-09-04,47.28
2009-09-07,10.66
2009-09-07,13.62
2009-09-10,14.7
2009-09-10,12.89
2009-09-10,19.85
2009-09-11,2.17
2009-09-13,15.6
2009-09-15,17.69
2009-09-17,30.28
2009-09-19,25.49
2009-09-20,19.55
2009-09-21,13.85
2009-09-22,5.71
2009-09-23,10.29
2009-09-26,3.47
2009-09-27,11.93
2009-09-29,54.99
2009-09-30,12.29
2009-09-30,11.87
2009-09-30,12.03
2009-10-01,9.04
2009-10-03,6.39
2009-10-05,16.16
2009-10-05,13.11
2009-10-06,15.35
2009-10-07,11.22
2009-10-10,67.02
2009-10-11,23.73
2009-10-13,12.48
2009-10-15,11.19
2009-10-17,18.24
2009-10-18,28.65
2009-10-19,12.47
2009-10-20,13.18
2009-10-21,9.61
2009-10-22,15.94
2009-10-25,64.48
2009-10-25,13.23
2009-10-28,10.03
2009-10-29,20.87
2009-10-29,9.94
2009-10-30,12.18
2009-11-03,10.31
2009-11-04,13.47
2009-11-04,8.36
2009-11-04,12.48
2009-11-05,9.32
2009-11-06,16.67
2009-11-10,15.54
2009-11-12,8.13
2009-11-12,9.04
2009-11-12,10.91
2009-11-15,12.72
2009-11-18,8
2009-11-19,12.67
2009-11-19,13.07
2009-11-19,9.52
2009-11-19,11.73
2009-11-19,13.74
2009-11-20,14.4
2009-11-20,4.18
2009-11-21,10.99
2009-11-23,11.5
2009-11-28,11.85
2009-12-01,8.83
2009-12-02,14.14
2009-12-03,13.4
2009-12-08,14.01
2009-12-10,13.71
2009-12-10,8.32
2009-12-17,11.88
2009-12-17,14.38
2009-12-18,15.63
2009-12-21,15.35
2009-12-24,17.33
2009-12-24,17.25
2009-12-24,13.99
2009-12-29,10.76
2009-12-31,12.49
